Unnamed: 0,review,score,thumbsUpCount,reviewCreatedVersion,replyContent,timeToReply,deberta_replyContent_pred
0,the number of likes for this review is 0. the version of the app is 33.0. banyak bug nya!!!! dikit² eror terus,0,0,33.0,"it took 0 days 05:06:00 for the developer to reply to a user's review. hello bank friend, sorry for the issues you’re facing. for further assistance, please email the details of your problem to bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thanks, una.",0 days 05:06:00,0.19217168
1,the number of likes for this review is 0. the version of the app is 32.0. cash deposit menu does not appear even after update,2,0,32.0,"it took 0 days 14:25:00 for the developer to reply to a user's review. hello, friend bank. kindly upgrade the bankapp app to the most recent version . if any issues persist, please email the details to bankapp.co.id. if everything works fine, we had appreciate a -star rating from you. thanks!~mawar",0 days 14:25:00,0.30760324
2,the number of likes for this review is 0. the version of the app is 33.0. sangat membantu,4,0,33.0,"it took 0 days 00:41:00 for the developer to reply to a user's review. hello bank customer, we appreciate you using the bankapp app. be sure to check out other exciting features that simplify your transactions. thanks, lena.",0 days 00:41:00,3.990549
3,the number of likes for this review is 0. the version of the app is 33.0. very cool,4,0,33.0,"it took 0 days 00:30:00 for the developer to reply to a user's review. hello bank friend, we appreciate your review. we hope the bankapp app simplifies your transactions. thanks, arthur",0 days 00:30:00,3.945402
4,the number of likes for this review is 0. the version of the app is 33.0. improved,4,0,33.0,"it took 0 days 15:05:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, mia.",0 days 15:05:00,4.0006905
5,the number of likes for this review is 0. the version of the app is 32.0. mantap,4,0,32.0,"it took 1 days 06:07:00 for the developer to reply to a user's review. hello friend bank, we appreciate you using the bankapp app. do not forget to explore other exciting features that simplify transactions. thanks~rida",1 days 06:07:00,3.9909408
6,the number of likes for this review is 0. the version of the app is 33.0. cepat 👍,1,0,33.0,"it took 0 days 00:52:00 for the developer to reply to a user's review. hello bank buddy, thanks for the feedback. if everything is running smoothly with the bankapp app, we would appreciate a -star rating from you. thanks~belin",0 days 00:52:00,2.8848267
7,the number of likes for this review is 0. the version of the app is 33.0. three attempts to download have already failed.,0,0,33.0,"it took 1 days 21:18:00 for the developer to reply to a user's review. hello bank friend, kindly provide all the necessary details through whatsapp at or via email at bankapp.co.id for review and further action. if everything is satisfactory, we hope your friend will give us a -star rating. thanks~una",1 days 21:18:00,0.16775712
8,the number of likes for this review is 0. the version of the app is nan. simplify it.,4,0,,"it took 2 days 20:57:00 for the developer to reply to a user's review. hello friend bank, we appreciate you using the bankapp app. remember to explore the other fascinating features that simplify transactions. thanks~najwa",2 days 20:57:00,3.994844
9,"the number of likes for this review is 0. the version of the app is 33.0. recently made two cash withdrawals, but now it is malfunctioning despite having a strong signal. admin, please resolve this issue urgently; this is money we are dealing with, not something trivial like leaves.",0,0,33.0,"it took 0 days 00:34:00 for the developer to reply to a user's review. hello friend bank, we are sorry for the issues you have encountered. to verify, kindly email an image of the response you got to bankapp.co.id. if no problems occurred, we would appreciate a -star rating from your end. thanks~ulfa",0 days 00:34:00,0.12870665
10,"the number of likes for this review is 0. the version of the app is 33.0. i appreciate how smooth all the transactions have been, thanks.",4,0,33.0,"it took 0 days 00:50:00 for the developer to reply to a user's review. hello friend bank, i appreciate your review. i hope the bankapp app simplifies transactions. thanks, sammy",0 days 00:50:00,3.9732497
11,the number of likes for this review is 0. the version of the app is 32.0. mental test definition🥴😵‍💫,0,0,32.0,"it took 0 days 23:52:00 for the developer to reply to a user's review. bank friend, if you encounter any issues, please email the problem details to bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thanks~mawar",0 days 23:52:00,0.21787675
12,"the number of likes for this review is 0. the version of the app is 33.0. baru kali ini tf tgl // l . wib. tidak ada notifikasi saldo terpotong tapi tidak masuk saldo rekening tujuan, iy walau jumlah tak seberpa semoga kedepan lebih baik lagi",2,0,33.0,"it took 0 days 14:23:00 for the developer to reply to a user's review. hello friend bank, we apologize for any inconvenience caused. if you face any issues, kindly share the problem details through bank's official whatsapp number or email bankapp.co.id. if bankapp is working well for you, we would appreciate a -star rating. thanks~lily",0 days 14:23:00,0.20565632
13,the number of likes for this review is 0. the version of the app is 33.0. its top markotop,4,0,33.0,"it took 2 days 19:26:00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. appreciate it, tika.",2 days 19:26:00,3.952496
14,"the number of likes for this review is 0. the version of the app is 33.0. sangat bagus,.",4,0,33.0,"it took 13 days 08::00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. cheers, baron.",13 days 08::00,3.9779565
15,the number of likes for this review is 0. the version of the app is 33.0. mantap,4,0,33.0,it took 0 days 19:25:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to try out the other exciting features that simplify transactions for bank friends. thanks~winky,0 days 19:25:00,3.9509451
16,the number of likes for this review is 0. the version of the app is 33.0. good steady,4,0,33.0,it took 0 days 10:35:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. be sure to explore other exciting features that simplify transactions for bank friends. thanks~winky,0 days 10:35:00,3.993722
17,the number of likes for this review is 0. the version of the app is 30.0. nice,3,0,30.0,"it took 0 days 01:27:00 for the developer to reply to a user's review. hello bank buddy, thanks for the feedback. if the bankapp app works perfectly, we look forward to your friend giving us stars. thanks, belin.",0 days 01:27:00,2.5743906
18,the number of likes for this review is 0. the version of the app is nan. mantap,4,0,,"it took 12 days 21:04:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and encourage you to explore other exciting features that simplify transactions. thanks, lily.",12 days 21:04:00,3.9877052
19,the number of likes for this review is 0. the version of the app is 33.0. mantap bos kuuhh,4,0,33.0,it took 0 days 01:06:00 for the developer to reply to a user's review. we appreciate you using the bankapp app; remember to explore other exciting features that simplify transactions for bank friends. thanks~winky,0 days 01:06:00,3.9525075
20,the number of likes for this review is 0. the version of the app is 33.0. pbagusbagusny👍👍👍👍,4,0,33.0,"it took 0 days 17:34:00 for the developer to reply to a user's review. we appreciate your use of the bankapp app. remember to explore its other exciting features that simplify transactions. thanks, mawar.",0 days 17:34:00,3.9915295
21,the number of likes for this review is 0. the version of the app is 32.0. nice,4,0,32.0,"it took 13 days 05:03:00 for the developer to reply to a user's review. we appreciate you using the bankapp app, and we encourage you to explore other useful features that simplify transactions for bank friends. thanks, baron.",13 days 05:03:00,3.9479904
22,"the number of likes for this review is 0. the version of the app is 32.0. excellent service, but if you are looking to purchase credit, avoid this place. it is been weeks without any valid reason for why it has not been processed.",3,0,32.0,"it took 0 days 17:12:00 for the developer to reply to a user's review. hello friend bank, apologies for any trouble caused. for further assistance, kindly submit a report via the bankapp app or send a message through the internet banking service at ://ib.bank.co.id/. you can also reach out to bank at / or go to the nearest bank branch with your e-ktp, atm card, and savings book. thank you~ulfa",0 days 17:12:00,0.43132806
23,the number of likes for this review is 0. the version of the app is 32.0. nice 😊,3,0,32.0,"it took 0 days 01:42:00 for the developer to reply to a user's review. hello bank friend, we appreciate you using the bankapp app and remind you to explore other exciting features that simplify your transactions. thanks~sora",0 days 01:42:00,3.9878125
24,the number of likes for this review is 0. the version of the app is 32.0. extremely useful.,4,0,32.0,"it took 0 days 10:51:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, satria.",0 days 10:51:00,3.9490504
25,the number of likes for this review is 0. the version of the app is 32.0. how can i disable sms banking? please help. thank you very much.,4,0,32.0,"it took 0 days 00:39:00 for the developer to reply to a user's review. hello friend bank 'krisdayanti_ade', starting from april , the sms banking service has been terminated. are you referring to sms notification? if so, please be advised that you can deactivate it by visiting the nearest bank branch with your e-ktp and atm card. thank you~dio.",0 days 00:39:00,1.4059674
26,the number of likes for this review is 0. the version of the app is nan. if you want to test your patience use bankapp,0,0,,"it took 0 days 08:27:00 for the developer to reply to a user's review. dear friend of bank, we are sorry for any difficulties you have encountered. for further assistance, please provide the details via bank's official whatsapp at or email at bankapp.co.id. if everything is fine, we would appreciate a -star rating from our bank friend. thanks, bevi.",0 days 08:27:00,0.09918687
27,the number of likes for this review is 0. the version of the app is 32.0. top,4,0,32.0,"it took 13 days 03:56:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to explore other exciting features that simplify transactions for bank customers. thanks, lena.",13 days 03:56:00,3.9970717
28,the number of likes for this review is 0. the version of the app is 33.0. sufficiently adequate and highly useful.,3,0,33.0,it took 1 days 00:46:00 for the developer to reply to a user's review. we appreciate you for utilizing the bankapp app and encourage you to explore other fascinating features that simplify transactions for bank friends. thanks~ulfa,1 days 00:46:00,3.9596877
29,"the number of likes for this review is 0. the version of the app is 33.0. saya kasi bintang dulu ya 😇 sebenarnya aplikasi bagus banget , mempermudahkan penarikan tanpa kartu,tapi buatkan dong penarikan atm minimal rb",3,0,33.0,"it took 0 days 02:57:00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. if everything has been smooth, we would appreciate a -star rating from your bank friend. thank you~yuka",0 days 02:57:00,2.9714308
30,the number of likes for this review is 0. the version of the app is 33.0. it is really terrible. the cook has not made any transactions and there is already a notification about reaching the daily limit.,0,0,33.0,"it took 0 days 00:48:00 for the developer to reply to a user's review. hello bank friend, if you have recently reinstalled or modified your device, safety mode or reduced transaction limits will be enabled. do not worry, safety mode will deactivate and the limits will normalize within hours. if everything has been working fine for you, we would appreciate a -star rating from you. thanks~dio",0 days 00:48:00,0.35107425
31,the number of likes for this review is 0. the version of the app is 33.0. bagus embantu,4,0,33.0,"it took 0 days 09:41:00 for the developer to reply to a user's review. we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, tika",0 days 09:41:00,3.977177
32,the number of likes for this review is 0. the version of the app is 33.0. simplify it.,4,0,33.0,"it took 0 days 00:30:00 for the developer to reply to a user's review. thank you for using the bankapp app. do not forget to check out other exciting features that simplify your transactions. thanks, mawar.",0 days 00:30:00,4.0213037
33,the number of likes for this review is 1. the version of the app is 33.0. baguse,4,1,33.0,"it took nan for the developer to reply to a user's review. hello bank friend, we appreciate you using the bankapp app. remember to explore other exciting features for convenient transactions. if everything has been smooth, we kindly ask for a -star rating from you. thanks~shima",,4.010113
34,"the number of likes for this review is 0. the version of the app is nan. i rate it stars, but could you please disable the mutation and activity?",4,0,,"it took 12 days 22:14:00 for the developer to reply to a user's review. hello friend bank, i appreciate the review. if you encounter any issues concerning bankapp, kindly send a detailed message to bank's official whatsapp at or email them at bankapp.co.id. thanks~lily",12 days 22:14:00,3.8494523
35,the number of likes for this review is 0. the version of the app is 28.0. you do not want me to attempt the transfer if it will not go through.,0,0,28.0,"it took 1 days 22:26:00 for the developer to reply to a user's review. hello bank companion, kindly provide detailed information via whatsapp at or email bankapp.co.id for verification and further assistance. if everything is satisfactory, we hope your friend will rate us with stars. thanks~una",1 days 22:26:00,0.13285473
36,the number of likes for this review is 0. the version of the app is 32.0. mantul bos qiu. tks,4,0,32.0,"it took 0 days 00:30:00 for the developer to reply to a user's review. thanks for the feedback. i hope the bankapp app simplifies your transactions. regards, asri",0 days 00:30:00,3.9755387
37,the number of likes for this review is 0. the version of the app is nan. nearly,4,0,,"it took 16 days 00:27:00 for the developer to reply to a user's review. i appreciate your feedback. i hope the bankapp app simplifies your transactions. thanks, lily.",16 days 00:27:00,3.9899902
38,the number of likes for this review is 9. the version of the app is 31.0. thanks. all my banking matters are smoother.,4,9,31.0,"it took 4 days 06:04:00 for the developer to reply to a user's review. hello friend bank, we appreciate you utilizing the bankapp app. let’s streamline and simplify your daily transactions. thanks~mia",4 days 06:04:00,3.9892523
39,"the number of likes for this review is 0. the version of the app is 33.0. i've been using this application for a month without any issues. i hope it remains safe. to avoid re-uploading, ensure that videos are not backlit, and id photos are taken in landscape mode. carry ids and the designated sign as required. i hope there will not be any delays.",4,0,33.0,"it took 15 days 09:43:00 for the developer to reply to a user's review. hello sobat bank, we appreciate your feedback. this will help us improve the bankapp app. do not forget to try out other exciting features that simplify transactions for bank friends. thanks ~ rida",15 days 09:43:00,3.9538884
40,the number of likes for this review is 0. the version of the app is 33.0. why is it not possible to add funds using the bankapp app?,4,0,33.0,"it took nan for the developer to reply to a user's review. hello friend bank, at the moment the bank bank network is functioning normally. for verification, kindly send a response that appears as an image through bank's official whatsapp at or email bankapp.co.id. if everything is fine, we would appreciate a -star rating from bank friends. thanks~winky",,3.9596362
