Unnamed: 0,review,score,thumbsUpCount,reviewCreatedVersion,replyContent,timeToReply,bert_review_pred
0,the number of likes for this review is 0. the version of the app is 33.0. banyak bug nya!!!! dikit² eror terus,0,0,33.0,"it took 0 days 05:06:00 for the developer to reply to a user's review. hello bank friend, sorry for the issues you’re facing. for further assistance, please email the details of your problem to bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thanks, una.",0 days 05:06:00,0.20905198
1,the number of likes for this review is 0. the version of the app is 32.0. cash deposit menu does not appear even after update,2,0,32.0,"it took 0 days 14:25:00 for the developer to reply to a user's review. hello, friend bank. kindly upgrade the bankapp app to the most recent version . if any issues persist, please email the details to bankapp.co.id. if everything works fine, we had appreciate a -star rating from you. thanks!~mawar",0 days 14:25:00,1.2708399
2,the number of likes for this review is 0. the version of the app is 33.0. sangat membantu,4,0,33.0,"it took 0 days 00:41:00 for the developer to reply to a user's review. hello bank customer, we appreciate you using the bankapp app. be sure to check out other exciting features that simplify your transactions. thanks, lena.",0 days 00:41:00,3.940823
3,the number of likes for this review is 0. the version of the app is 33.0. very cool,4,0,33.0,"it took 0 days 00:30:00 for the developer to reply to a user's review. hello bank friend, we appreciate your review. we hope the bankapp app simplifies your transactions. thanks, arthur",0 days 00:30:00,3.9375694
4,the number of likes for this review is 0. the version of the app is 33.0. improved,4,0,33.0,"it took 0 days 15:05:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, mia.",0 days 15:05:00,3.8966722
5,the number of likes for this review is 0. the version of the app is 32.0. mantap,4,0,32.0,"it took 1 days 06:07:00 for the developer to reply to a user's review. hello friend bank, we appreciate you using the bankapp app. do not forget to explore other exciting features that simplify transactions. thanks~rida",1 days 06:07:00,4.0231233
6,the number of likes for this review is 0. the version of the app is 33.0. cepat 👍,1,0,33.0,"it took 0 days 00:52:00 for the developer to reply to a user's review. hello bank buddy, thanks for the feedback. if everything is running smoothly with the bankapp app, we would appreciate a -star rating from you. thanks~belin",0 days 00:52:00,3.850351
7,the number of likes for this review is 0. the version of the app is 33.0. three attempts to download have already failed.,0,0,33.0,"it took 1 days 21:18:00 for the developer to reply to a user's review. hello bank friend, kindly provide all the necessary details through whatsapp at or via email at bankapp.co.id for review and further action. if everything is satisfactory, we hope your friend will give us a -star rating. thanks~una",1 days 21:18:00,0.6493521
8,the number of likes for this review is 0. the version of the app is nan. simplify it.,4,0,,"it took 2 days 20:57:00 for the developer to reply to a user's review. hello friend bank, we appreciate you using the bankapp app. remember to explore the other fascinating features that simplify transactions. thanks~najwa",2 days 20:57:00,3.8703034
9,"the number of likes for this review is 0. the version of the app is 33.0. recently made two cash withdrawals, but now it is malfunctioning despite having a strong signal. admin, please resolve this issue urgently; this is money we are dealing with, not something trivial like leaves.",0,0,33.0,"it took 0 days 00:34:00 for the developer to reply to a user's review. hello friend bank, we are sorry for the issues you have encountered. to verify, kindly email an image of the response you got to bankapp.co.id. if no problems occurred, we would appreciate a -star rating from your end. thanks~ulfa",0 days 00:34:00,0.562171
